Motion Through Fluids Experiment Wed, Mar 21, 2018 3:11 PM
Time(sec)	Position(mm)
0.042	0.000
0.092	0.000
0.142	0.000
0.192	0.000
0.242	0.000
0.292	0.000
0.342	0.675
0.392	3.409
0.442	7.782
0.492	12.703
0.542	17.077
0.593	21.451
0.642	26.372
0.692	31.292
0.742	36.213
0.792	41.681
0.842	47.148
0.892	52.615
0.942	58.083
0.993	64.097
1.042	70.111
1.092	76.125
1.142	82.140
1.192	88.154
1.242	94.168
1.292	100.182
1.342	106.196
1.392	112.210
1.442	118.225
1.492	124.239
1.542	130.253
1.592	136.267
1.642	142.828
1.692	148.842
1.742	155.403
1.792	161.417
1.842	167.432
1.892	173.992
1.942	180.007
1.992	186.021
2.042	192.582
2.092	198.596
2.142	204.610
2.192	211.171
2.242	217.185
2.292	222.653
2.342	229.760
2.392	236.321
2.443	242.882
2.492	248.350
2.542	254.364
2.592	0.000
2.642	0.000
2.693	0.000
2.742	0.000
